nome,endereco,idade,categoria,salario,data_hora_processamento
Richard Martin,784 Stevens,62,0,61050,2025-03-19 15:32:30.236225
James Jones,729 Neruda,65,1,53824,2025-03-19 15:32:30.236225
Patricia Wilson,935 Dickinson,18,0,60281,2025-03-19 15:32:30.236225
Elizabeth Robinson,459 Rilke,21,1,42187,2025-03-19 15:32:30.236225
Charles Brown,823 Ginsberg,21,1,37589,2025-03-19 15:32:30.236225
Michael Jackson,854 Frost,57,1,58179,2025-03-19 15:32:30.236225
Mary Miller,699 Plath,27,1,40359,2025-03-19 15:32:30.236225
Linda Harris,572 Auden,37,0,41725,2025-03-19 15:32:30.236225
Sarah Davis,496 Whitman,39,0,44533,2025-03-19 15:32:30.236225
Susan Moore,586 Mistral,68,0,50209,2025-03-19 15:32:30.236225
Elizabeth Robinson,187 Walcott,54,1,45752,2025-03-19 15:32:30.236225
Thomas Robinson,700 Paz,41,1,33500,2025-03-19 15:32:30.236225
Jennifer Martin,777 Bishop,24,1,42276,2025-03-19 15:32:30.236225
Jessica Smith,945 Eliot,42,0,23319,2025-03-19 15:32:30.236225
Charles Jones,877 Heaney,42,1,57502,2025-03-19 15:32:30.236225
Sarah Robinson,215 Browning,30,1,30775,2025-03-19 15:32:30.236225
Karen Robinson,855 Hughes,19,1,36747,2025-03-19 15:32:30.236225
Joseph Wilson,947 Stevens,56,1,50625,2025-03-19 15:32:30.236225
James Johnson,548 Angelou,57,0,41125,2025-03-19 15:32:30.236225
Elizabeth Smith,199 Auden,41,0,68516,2025-03-19 15:32:30.236225
David Jones,277 Rimbaud,64,1,34485,2025-03-19 15:32:30.236225
Barbara Martinez,759 Cummings,42,1,53204,2025-03-19 15:32:30.236225
John Smith,523 Goethe,35,0,49528,2025-03-19 15:32:30.236225
James Brown,365 Goethe,55,0,35982,2025-03-19 15:32:30.236225
Jennifer Miller,643 Akhmatova,43,0,56279,2025-03-19 15:32:30.236225
William Garcia,344 Sandburg,31,1,47941,2025-03-19 15:32:30.236225
Jessica Brown,775 Baudelaire,26,1,59261,2025-03-19 15:32:30.236225
Elizabeth Anderson,982 Whitman,27,0,59882,2025-03-19 15:32:30.236225
Mary Johnson,902 Neruda,38,1,75958,2025-03-19 15:32:30.236225
Linda Taylor,228 Frost,69,1,66038,2025-03-19 15:32:30.236225
Patricia Miller,153 Hughes,34,1,45569,2025-03-19 15:32:30.236225
Barbara Harris,650 Hesse,69,1,47127,2025-03-19 15:32:30.236225
Charles Smith,856 Paz,23,1,63195,2025-03-19 15:32:30.236225
Joseph Jones,435 Yeats,33,0,57863,2025-03-19 15:32:30.236225
Richard Anderson,717 Larkin,65,0,57681,2025-03-19 15:32:30.236225
Barbara Brown,542 Basho,18,0,30596,2025-03-19 15:32:30.236225
Michael Brown,988 Whitman,36,1,49708,2025-03-19 15:32:30.236225
Jessica Jones,421 Mistral,53,0,41143,2025-03-19 15:32:30.236225
Richard Brown,157 Milton,42,1,53359,2025-03-19 15:32:30.236225
William Harris,970 Baudelaire,67,0,48822,2025-03-19 15:32:30.236225
Jessica Jones,530 Angelou,69,1,60922,2025-03-19 15:32:30.236225
Jessica White,191 Neruda,47,1,53806,2025-03-19 15:32:30.236225
Thomas Garcia,498 Milton,37,0,59435,2025-03-19 15:32:30.236225
Jennifer Taylor,665 Pushkin,37,0,44402,2025-03-19 15:32:30.236225
Patricia Smith,733 Larkin,32,0,38666,2025-03-19 15:32:30.236225
Jennifer Smith,184 Baudelaire,57,1,45079,2025-03-19 15:32:30.236225
Sarah Martinez,424 Plath,50,0,49795,2025-03-19 15:32:30.236225
Robert Williams,147 Dickinson,19,0,54549,2025-03-19 15:32:30.236225
Thomas Jones,968 Hesse,27,1,77111,2025-03-19 15:32:30.236225
John Anderson,946 Keats,50,1,49492,2025-03-19 15:32:30.236225
Susan Thompson,760 Milton,49,1,38528,2025-03-19 15:32:30.236225
Linda Taylor,891 Keats,28,1,45848,2025-03-19 15:32:30.236225
James Anderson,473 Ginsberg,41,0,44436,2025-03-19 15:32:30.236225
Charles Thomas,660 Darwish,53,1,55777,2025-03-19 15:32:30.236225
John Williams,681 Harjo,29,0,31510,2025-03-19 15:32:30.236225
Patricia Jones,775 Neruda,68,0,50759,2025-03-19 15:32:30.236225
Charles Harris,195 Hughes,46,0,51878,2025-03-19 15:32:30.236225
Patricia Garcia,706 Neruda,52,0,52786,2025-03-19 15:32:30.236225
Charles Harris,981 Frost,18,1,42832,2025-03-19 15:32:30.236225
Elizabeth Johnson,916 Rimbaud,18,1,47144,2025-03-19 15:32:30.236225
Robert Anderson,487 Hugo,54,1,32911,2025-03-19 15:32:30.236225
Barbara Moore,654 Tagore,23,0,44080,2025-03-19 15:32:30.236225
Barbara Williams,468 Mistral,56,1,43485,2025-03-19 15:32:30.236225
Karen Thompson,301 Neruda,58,0,54992,2025-03-19 15:32:30.236225
James Smith,470 Sexton,35,0,36125,2025-03-19 15:32:30.236225
Michael Robinson,483 Sandburg,33,1,59374,2025-03-19 15:32:30.236225
Joseph Anderson,799 Frost,22,1,67933,2025-03-19 15:32:30.236225
Karen Moore,477 Hugo,59,1,25160,2025-03-19 15:32:30.236225
Susan Williams,674 Milton,60,1,55115,2025-03-19 15:32:30.236225
Patricia Williams,834 Dickinson,49,1,58122,2025-03-19 15:32:30.236225
Barbara White,694 Walcott,19,1,42350,2025-03-19 15:32:30.236225
Thomas Moore,839 Heaney,19,0,45232,2025-03-19 15:32:30.236225
William Robinson,309 Szymborska,57,0,48405,2025-03-19 15:32:30.236225
William Williams,882 Harjo,59,1,46426,2025-03-19 15:32:30.236225
Patricia Jackson,158 Whitman,53,1,46291,2025-03-19 15:32:30.236225
Joseph Smith,136 Akhmatova,56,1,29887,2025-03-19 15:32:30.236225
Robert Jones,186 Sexton,29,1,63827,2025-03-19 15:32:30.236225
